Park,Property,Type,Source,Location,Rating,Beds,Drive_to_shuttle,Map_query,Map_accuracy,Listing_URL,Available_1_night,ADR_family_night_1,Family_share_1,Group_total_1,Available_2_night,ADR_family_night_2,Family_share_2,Group_total_2,Available_3_night,ADR_family_night_3,Family_share_3,Group_total_3
"Bryce","Azevedo Ranch Lake House","Whole home","Airbnb","Panguitch","5 / 5 · 34 reviews","10 beds","~30 min","Panguitch, Utah","Town-level estimate","https://www.airbnb.com/s/Bryce-Canyon-City--Utah--United-States/homes?checkin=2026-10-11&checkout=2026-10-12&adults=6&children=5","Yes","277.33","277.33","832","Yes","263","526","1578","Yes","258.22","774.67","2324"
"Bryce","Bryce Canyon Grand Hotel","Suites","Booking.com","Bryce Canyon City","8.50 / 10 · 2,802 reviews","6 beds","At hotel · Bryce shuttle Stop 3","Bryce Canyon Grand Hotel, Bryce Canyon City, Utah","Property-name geocode","https://www.booking.com/searchresults.html?ss=Bryce+Canyon%2C+Utah&checkin=2026-10-11&checkout=2026-10-12&group_adults=6&no_rooms=1&group_children=5&age=9&age=9&age=9&age=11&age=11&selected_currency=USD","Yes","180","180","540","Yes","206.67","413.33","1240","Yes","237.78","713.33","2140"
"Bryce","Bryce Canyon Pines Lodge","Hotel","Booking.com","Bryce area","7.60 / 10 · 1,700 reviews","6 beds","~10 min","Bryce Canyon Pines Lodge, Bryce area, Utah","Property-name geocode","https://www.booking.com/searchresults.html?ss=Bryce+Canyon%2C+Utah&checkin=2026-10-11&checkout=2026-10-12&group_adults=6&no_rooms=1&group_children=5&age=9&age=9&age=9&age=11&age=11&selected_currency=USD","Yes","139","139","417","Yes","144","288","864","Yes","145.67","437","1311"
"Bryce","Bryce Canyon Resort","Hotel","Booking.com","Bryce Canyon City","7 / 10 · 1,890 reviews","6 beds","~4 min","Bryce Canyon Resort, Bryce Canyon City, Utah","Property-name geocode","https://www.booking.com/searchresults.html?ss=Bryce+Canyon%2C+Utah&checkin=2026-10-11&checkout=2026-10-12&group_adults=6&no_rooms=1&group_children=5&age=9&age=9&age=9&age=11&age=11&selected_currency=USD","Yes","120.67","120.67","362","Yes","126.67","253.33","760","Yes","127.11","381.33","1144"
"Bryce","Bryce Country Cabins","Cottage + chalet","Booking.com","Tropic","8.60 / 10 · 120 reviews","7 beds","~15 min","Bryce Country Cabins, Tropic, Utah","Property-name geocode","https://www.booking.com/searchresults.html?ss=Bryce+Canyon%2C+Utah&checkin=2026-10-11&checkout=2026-10-12&group_adults=6&no_rooms=1&group_children=5&age=9&age=9&age=9&age=11&age=11&selected_currency=USD","Yes","175.33","175.33","526","Yes","175.17","350.33","1051","Yes","175.22","525.67","1577"
"Bryce","Bryce Gateway Inn Cabins","Vacation homes","Booking.com","Panguitch","7.30 / 10 · 941 reviews","6 beds","~25 min","Bryce Gateway Inn Cabins, Panguitch, Utah","Property-name geocode","https://www.booking.com/searchresults.html?ss=Bryce+Canyon%2C+Utah&checkin=2026-10-11&checkout=2026-10-12&group_adults=6&no_rooms=1&group_children=5&age=9&age=9&age=9&age=11&age=11&selected_currency=USD","Yes","100","100","300","","","","","","","",""
"Bryce","Bryce Pioneer Village","Hotel + vacation home","Booking.com","Tropic","8.30 / 10 · 3,451 reviews","5 beds","~15 min","Bryce Pioneer Village, Tropic, Utah","Property-name geocode","https://www.booking.com/searchresults.html?ss=Bryce+Canyon%2C+Utah&checkin=2026-10-11&checkout=2026-10-12&group_adults=6&no_rooms=1&group_children=5&age=9&age=9&age=9&age=11&age=11&selected_currency=USD","Yes","169.67","169.67","509","Yes","169.5","339","1017","Yes","169.56","508.67","1526"
"Bryce","Bryce View Lodge","Hotel","Booking.com","Bryce Canyon City","7.80 / 10 · 3,448 reviews","6 beds","~10 min","Bryce View Lodge, Bryce Canyon City, Utah","Property-name geocode","https://www.booking.com/searchresults.html?ss=Bryce+Canyon%2C+Utah&checkin=2026-10-11&checkout=2026-10-12&group_adults=6&no_rooms=1&group_children=5&age=9&age=9&age=9&age=11&age=11&selected_currency=USD","Yes","130","130","390","Yes","160","320","960","Yes","170","510","1530"
"Bryce","Mountain Ridge Cabins","3 bungalows","Booking.com","Hatch","9.20 / 10 · 876 reviews","6 beds","~20 min","Mountain Ridge Cabins, Hatch, Utah","Property-name geocode","https://www.booking.com/searchresults.html?ss=Bryce+Canyon%2C+Utah&checkin=2026-10-11&checkout=2026-10-12&group_adults=6&no_rooms=1&group_children=5&age=9&age=9&age=9&age=11&age=11&selected_currency=USD","Yes","174.67","174.67","524","Yes","169.67","339.33","1018","Yes","168","504","1512"
"Bryce","Ruby’s Inn","Hotel","Booking.com","Bryce Canyon City","8.10 / 10 · 7,489 reviews","6 beds","At entrance · Bryce shuttle Stop 4","Ruby’s Inn, Bryce Canyon City, Utah","Property-name geocode","https://www.booking.com/searchresults.html?ss=Bryce+Canyon%2C+Utah&checkin=2026-10-11&checkout=2026-10-12&group_adults=6&no_rooms=1&group_children=5&age=9&age=9&age=9&age=11&age=11&selected_currency=USD","Yes","160","160","480","Yes","218.33","436.67","1310","","","",""
