Park,Property,Type,Source,Location,Rating,Beds,Drive_to_shuttle,Map_query,Map_accuracy,Listing_URL,Available_1_night,ADR_family_night_1,Family_share_1,Group_total_1,Available_2_night,ADR_family_night_2,Family_share_2,Group_total_2,Available_3_night,ADR_family_night_3,Family_share_3,Group_total_3
"Zion","Best Western Plus Zion West","Hotel","Booking.com","La Verkin","8.30 / 10 · 1,236 reviews","6 beds","~40 min","Best Western Plus Zion West, La Verkin, Utah","Property-name geocode","https://www.booking.com/hotel/us/best-western-plus-zion-west.html","Yes","398.67","398.67","1196","","","","","Yes","424.89","1274.67","3824"
"Zion","Casa De Hot Springs","Suites","Booking.com","La Verkin","Not scored · No reviews shown","10 beds","~40 min","Casa De Hot Springs, La Verkin, Utah","Property-name geocode","https://www.booking.com/hotel/us/casa-de-hot-springs.html","Yes","372","372","1116","Yes","372","744","2232","Yes","344","1032","3096"
"Zion","Desert Sage Retreat","Hotel","Booking.com","Colorado City","8.40 / 10 · 76 reviews","6 beds","~60 min","Desert Sage Retreat, Colorado City, Utah","Property-name geocode","https://www.booking.com/hotel/us/desert-sage-retreat-colorado-city.html","Yes","299.67","299.67","899","Yes","263.83","527.67","1583","Yes","242.78","728.33","2185"
"Zion","Driftwood Lodge","Lodge","Booking.com","Springdale","9 / 10 · 1,684 reviews","6 beds","~4 min","Driftwood Lodge, Springdale, Utah","Property-name geocode","https://www.booking.com/hotel/us/driftwood-lodge.html","Yes","359","359","1077","","","","","","","",""
"Zion","Gooseberry Lodges Zion National Park Area","Lodge","Booking.com","Apple Valley","9.30 / 10 · 382 reviews","8 beds","~50 min","Gooseberry Lodges Zion National Park Area, Apple Valley, Utah","Property-name geocode","https://www.booking.com/hotel/us/gooseberry-lodges.html","Yes","177.33","177.33","532","Yes","162.5","325","975","Yes","146.11","438.33","1315"
"Zion","Holiday Inn La Verkin - Zion Park by IHG","Suites","Booking.com","La Verkin","9 / 10 · 290 reviews","6 beds","~40 min","Holiday Inn La Verkin - Zion Park by IHG, La Verkin, Utah","Property-name geocode","https://www.booking.com/hotel/us/holiday-inn-la-verkin-zion-park-an-ihg.html","Yes","332.33","332.33","997","Yes","332.33","664.67","1994","Yes","290.67","872","2616"
"Zion","La Quinta by Wyndham La Verkin - Gateway to Zion","Hotel","Booking.com","La Verkin","8.80 / 10 · 2,152 reviews","6 beds","~40 min","La Quinta by Wyndham La Verkin - Gateway to Zion, La Verkin, Utah","Property-name geocode","https://www.booking.com/hotel/us/la-quinta-inn-suites-la-verkin-gateway-to-zion.html","Yes","221","221","663","Yes","245.67","491.33","1474","Yes","270.67","812","2436"
"Zion","Ramada by Wyndham La Verkin Zion National Park","Hotel","Booking.com","La Verkin","7.30 / 10 · 2,019 reviews","6 beds","~40 min","Ramada by Wyndham La Verkin Zion National Park, La Verkin, Utah","Property-name geocode","https://www.booking.com/hotel/us/zion-la-verkin.html","Yes","141.67","141.67","425","Yes","141.67","283.33","850","Yes","130.44","391.33","1174"
"Zion","South Zion Inn and Suites","Suites","Booking.com","Hildale","9.20 / 10 · 203 reviews","6 beds","~55 min","South Zion Inn and Suites, Hildale, Utah","Property-name geocode","https://www.booking.com/hotel/us/south-zion-inn-and-suties.html","Yes","123.33","123.33","370","Yes","144.67","289.33","868","Yes","144.67","434","1302"
"Zion","Spectacular Home Near Zion","Whole home","Vrbo","Virgin","10 / 10 · 262 reviews","6 beds","~25 min","Virgin, Utah","Town-level estimate","https://www.vrbo.com/search?destination=Springdale%2C+Utah%2C+United+States+of+America&startDate=2026-10-09&endDate=2026-10-10&adults=11&rooms=1","Yes","276","276","828","","","","","","","",""
"Zion","The Dwellings","Suites","Booking.com","La Verkin","8.70 / 10 · 63 reviews","2 beds","~40 min","The Dwellings, La Verkin, Utah","Property-name geocode","https://www.booking.com/hotel/us/the-dwellings-la-verkin.html","Yes","251.33","251.33","754","Yes","236.33","472.67","1418","Yes","231.33","694","2082"
"Zion","Wave Rider","Whole home","Airbnb","Hurricane","4.95 / 5 · 21 reviews","6 beds","~40 min","Hurricane, Utah","Town-level estimate","https://www.airbnb.com/s/Springdale--Utah--United-States/homes?checkin=2026-10-09&checkout=2026-10-10&adults=6&children=5","Yes","203.67","203.67","611","","","","","","","",""
"Zion","Zion Cliff Lodge","Lodge","Booking.com","Hildale","9.40 / 10 · 498 reviews","6 beds","~55 min","Zion Cliff Lodge, Hildale, Utah","Property-name geocode","https://www.booking.com/hotel/us/zion-cliff-lodge-hildale.html","Yes","243.33","243.33","730","Yes","243.17","486.33","1459","Yes","243.22","729.67","2189"
"Zion","Zion Luxury Retreat Garden Suite & Pool","Home","Booking.com","Colorado City","10 / 10 · 1 review","12 beds","~60 min","Zion Luxury Retreat Garden Suite & Pool, Colorado City, Utah","Property-name geocode","https://www.booking.com/hotel/us/zion-luxury-resort.html","Yes","406.33","406.33","1219","Yes","356.5","713","2139","Yes","316.67","950","2850"
"Zion","Zion Mountain Ranch","Lodge","Booking.com","Mount Carmel Junction","9 / 10 · 635 reviews","7 beds","~50 min","Zion Mountain Ranch, Mount Carmel Junction, Utah","Property-name geocode","https://www.booking.com/hotel/us/zion-mountain-ranch.html","Yes","365.67","365.67","1097","Yes","386.33","772.67","2318","Yes","380.78","1142.33","3427"
"Zion","Zion Ponderosa Ranch Resort","Glamping","Booking.com","East Zion","8.40 / 10 · 186 reviews","6 beds","~55 min","Zion Ponderosa Ranch Resort, East Zion, Utah","Property-name geocode","https://www.booking.com/hotel/us/zion-ponderosa-vacation-rentals.html","Yes","151.33","151.33","454","Yes","356.83","713.67","2141","Yes","321.78","965.33","2896"
"Zion","Zion View Camping","Glamping","Booking.com","Hildale","8.80 / 10 · 1,166 reviews","6 beds","~55 min","Zion View Camping, Hildale, Utah","Property-name geocode","https://www.booking.com/hotel/us/zions-view-camping.html","Yes","286","286","858","Yes","267.83","535.67","1607","Yes","252.89","758.67","2276"
"Zion","Zion White Bison Glamping & RV Resort","Glamping","Booking.com","Virgin","9.10 / 10 · 235 reviews","6 beds","~25 min","Zion White Bison Glamping & RV Resort, Virgin, Utah","Property-name geocode","https://www.booking.com/hotel/us/zion-white-bison-glamping-rv-resort-wagons.html","Yes","452.67","452.67","1358","","","","","Yes","475.67","1427","4281"
"Zion","Zion Wildflower Resort, WorldHotels Backdrop","Hotel","Booking.com","Virgin","9.10 / 10 · 1,039 reviews","7 beds","~25 min","Zion Wildflower Resort, WorldHotels Backdrop, Virgin, Utah","Property-name geocode","https://www.booking.com/hotel/us/zion-wildflower.html","Yes","468","468","1404","","","","","","","",""
"Zion","King Beds for All Next to Zion","Whole home","Vrbo","Orderville","9.60 / 10 · 20 reviews","13 beds","~55 min","Orderville, Utah","Town-level estimate","https://www.vrbo.com/search?destination=Springdale%2C+Utah%2C+United+States+of+America&startDate=2026-10-09&endDate=2026-10-11&adults=11&rooms=1","","","","","Yes","356","712","2136","Yes","329.11","987.33","2962"
"Zion","Poolside @ Zion Village","Whole home","Airbnb","Hurricane","4.92 / 5 · 144 reviews","8 beds","~40 min","Hurricane, Utah","Town-level estimate","https://www.airbnb.com/s/Springdale--Utah--United-States/homes?checkin=2026-10-09&checkout=2026-10-11&adults=6&children=5","","","","","Yes","186.83","373.67","1121","Yes","162.22","486.67","1460"
"Zion","Western Cabin Surrounded by Sublime Natural Beauty near Zion National Park in Utah","Whole home","Booking.com","Mount Carmel","Not scored · No reviews shown","11 beds","~55 min","Western Cabin Surrounded by Sublime Natural Beauty near Zion National Park in Utah, Mount Carmel, Utah","Property-name geocode","https://www.booking.com/hotel/us/western-cabin-surrounded-by-sublime-natural-beauty-near-zion-national-park-in-ut.html","","","","","Yes","294.67","589.33","1768","Yes","277.56","832.67","2498"
"Zion","Zion Vacation Cabins","Cabin","Booking.com","Virgin","8.80 / 10 · 15 reviews","6 beds","~25 min","Zion Vacation Cabins, Virgin, Utah","Property-name geocode","https://www.booking.com/hotel/us/zion-river-cabins.html","","","","","Yes","307","614","1842","Yes","307","921","2763"
"Zion","Family Escape","Whole home","Airbnb","Hurricane","4.81 / 5 · 21 reviews","8 beds","~40 min","Hurricane, Utah","Town-level estimate","https://www.airbnb.com/s/Springdale--Utah--United-States/homes?checkin=2026-10-09&checkout=2026-10-12&adults=6&children=5","","","","","","","","","Yes","163.22","489.67","1469"
"Zion","Hildale Family Estate","Whole home","Airbnb","Hildale","4.96 / 5 · 118 reviews","12 beds","~55 min","Hildale, Utah","Town-level estimate","https://www.airbnb.com/s/Springdale--Utah--United-States/homes?checkin=2026-10-09&checkout=2026-10-12&adults=6&children=5","","","","","","","","","Yes","354.78","1064.33","3193"
"Zion","Just Beachy","Whole home","Airbnb","Hurricane","4.84 / 5 · 19 reviews","8 beds","~40 min","Hurricane, Utah","Town-level estimate","https://www.airbnb.com/s/Springdale--Utah--United-States/homes?checkin=2026-10-09&checkout=2026-10-12&adults=6&children=5","","","","","","","","","Yes","190.11","570.33","1711"
"Zion","La Verkin Zion Family Retreat","Whole home","Airbnb","La Verkin","5 / 5 · 6 reviews","Not itemized","~40 min","La Verkin, Utah","Town-level estimate","https://www.airbnb.com/s/Springdale--Utah--United-States/homes?checkin=2026-10-09&checkout=2026-10-12&adults=6&children=5","","","","","","","","","Yes","289.89","869.67","2609"
"Zion","MountainStar Cabin","Whole home","Vrbo","Orderville","10 / 10 · 208 reviews","13 beds","~55 min","Orderville, Utah","Town-level estimate","https://www.vrbo.com/search?destination=Springdale%2C+Utah%2C+United+States+of+America&startDate=2026-10-09&endDate=2026-10-12&adults=11&rooms=1","","","","","","","","","Yes","297.56","892.67","2678"
"Zion","Pecan Valley Wellness","Whole home","Airbnb","Hurricane","4.89 / 5 · 9 reviews","6 beds","~40 min","Hurricane, Utah","Town-level estimate","https://www.airbnb.com/s/Springdale--Utah--United-States/homes?checkin=2026-10-09&checkout=2026-10-12&adults=6&children=5","","","","","","","","","Yes","150.11","450.33","1351"
"Zion","The Gambit","Whole home","Airbnb","Hurricane","4.98 / 5 · 130 reviews","Not itemized","~40 min","Hurricane, Utah","Town-level estimate","https://www.airbnb.com/s/Springdale--Utah--United-States/homes?checkin=2026-10-09&checkout=2026-10-12&adults=6&children=5","","","","","","","","","Yes","331","993","2979"
"Zion","Waterpark Now Open","Whole home","Airbnb","Hurricane","4.96 / 5 · 24 reviews","6 beds","~40 min","Hurricane, Utah","Town-level estimate","https://www.airbnb.com/s/Springdale--Utah--United-States/homes?checkin=2026-10-09&checkout=2026-10-12&adults=6&children=5","","","","","","","","","Yes","151.44","454.33","1363"
"Zion","Zion Border Retreat","Whole home","Vrbo","Orderville","10 / 10 · 72 reviews","6 beds","~55 min","Orderville, Utah","Town-level estimate","https://www.vrbo.com/search?destination=Springdale%2C+Utah%2C+United+States+of+America&startDate=2026-10-09&endDate=2026-10-12&adults=11&rooms=1","","","","","","","","","Yes","276.33","829","2487"
"Zion","Zion Oasis Rentals","Hotel","Booking.com","Hurricane","9.50 / 10 · 34 reviews","8 beds","~40 min","Zion Oasis Rentals, Hurricane, Utah","Property-name geocode","https://www.booking.com/hotel/us/zion-oasis-rentals.html","","","","","","","","","Yes","468.22","1404.67","4214"
"Zion","Zion Private Pool & Ice Plunge","Whole home","Airbnb","Hurricane","4.96 / 5 · 85 reviews","15 beds","~40 min","Hurricane, Utah","Town-level estimate","https://www.airbnb.com/s/Springdale--Utah--United-States/homes?checkin=2026-10-09&checkout=2026-10-12&adults=6&children=5","","","","","","","","","Yes","221.89","665.67","1997"
